文字または記号	種別	モールス符号	単位数
A	欧文文字	・－	2
B	欧文文字	－・・・	4
C	欧文文字	－・－・	4
D	欧文文字	－・・	3
E	欧文文字	・	1
F	欧文文字	・・－・	4
G	欧文文字	－－・	3
H	欧文文字	・・・・	4
I	欧文文字	・・	2
J	欧文文字	・－－－	4
K	欧文文字	－・－	3
L	欧文文字	・－・・	4
M	欧文文字	－－	2
N	欧文文字	－・	2
O	欧文文字	－－－	3
P	欧文文字	・－－・	4
Q	欧文文字	－－・－	4
R	欧文文字	・－・	3
S	欧文文字	・・・	3
T	欧文文字	－	1
U	欧文文字	・・－	3
V	欧文文字	・・・－	4
W	欧文文字	・－－	3
X	欧文文字	－・・－	4
Y	欧文文字	－・－－	4
Z	欧文文字	－－・・	4
.	欧文記号	・－・－・－	6
,	欧文記号	－－・・－－	6
:	欧文記号	－－－・・・	6
?	欧文記号	・・－－・・	6
'	欧文記号	・－－－－・	6
-	欧文記号	－・・・・－	6
/	欧文記号	－・・－・	5
(	欧文記号	－・－－・	5
)	欧文記号	－・－－・－	6
=	欧文記号	－・・・－	5
+	欧文記号	・－・－・	5
""""	欧文記号	・－・・－・	6
@	欧文記号	・－－・－・	6
1	数字通常	・－－－－	5
2	数字通常	・・－－－	5
3	数字通常	・・・－－	5
4	数字通常	・・・・－	5
5	数字通常	・・・・・	5
6	数字通常	－・・・・	5
7	数字通常	－－・・・	5
8	数字通常	－－－・・	5
9	数字通常	－－－－・	5
0	数字通常	－－－－－	5
1	数字短縮	・－	2
2	数字短縮	・・－	3
3	数字短縮	・・・－	4
4	数字短縮	・・・・－	5
5	数字短縮	・・・・・	5
6	数字短縮	－・・・・	5
7	数字短縮	－－・・・	5
8	数字短縮	－－－・・	5
9	数字短縮	－－－－・	5
0	数字短縮	－－－－－	5
ア	和文字	－－・－－	4
イ	和文字	・－	2
ウ	和文字	・・－	3
エ	和文字	－・－－－	5
オ	和文字	・－・・・	5
カ	和文字	・－・・	4
キ	和文字	－・－・・	5
ク	和文字	・・・－	4
ケ	和文字	－・－－	4
コ	和文字	－－－－	4
サ	和文字	－・－・－	5
シ	和文字	－－・－・	5
ス	和文字	－－－・－	5
セ	和文字	・－－－・	5
ソ	和文字	－－－・	4
タ	和文字	－・	2
チ	和文字	・・－・	4
ツ	和文字	・－－・	4
テ	和文字	・－・－－	5
ト	和文字	・・－・・	5
ナ	和文字	・－・	3
ニ	和文字	－・－・	4
ヌ	和文字	・・・・	4
ネ	和文字	－－・－	4
ノ	和文字	・・－－	4
ハ	和文字	－・・・	4
ヒ	和文字	－－・・－	5
フ	和文字	－－・・	4
ヘ	和文字	・	1
ホ	和文字	－・・	3
マ	和文字	－・・－	4
ミ	和文字	・・－・－	5
ム	和文字	－	1
メ	和文字	－・・・－	5
モ	和文字	－・・－・	5
ヤ	和文字	・－－	3
ユ	和文字	－・・－－	5
ヨ	和文字	－－	2
ラ	和文字	・・・	3
リ	和文字	－－・	3
ル	和文字	－・－－・	5
レ	和文字	－－－	3
ロ	和文字	・－・－	4
ワ	和文字	－・－	3
ヰ	和文字	・－・・－	5
ヱ	和文字	・－－・・	5
ヲ	和文字	・－－－	4
ン	和文字	・－・－・	5
゛	和記号	・・	2
゜	和記号	・・－－・	5
ー	和記号	・－－・－	5
、	和記号	・－・－・－	6
。	和記号	・－・－・・	6
（	和記号	－・－－・－	6
）	和記号	・－・・－・	6
